month,year,day,lat,long
10,1999,01,39.68333,-99.86667
10,1999,04,45.29167,11.52722
10,1999,04,54.81667,46
10,1999,17,56,22
10,1999,18,42.91667,102.46667
10,1999,19,24.3,-102.13333
10,1999,19,41.63333,0.75
10,1999,20,43.33333,141.86667
10,1999,22,21.20833,94.91667
10,1999,23,47.55,22.025
10,2000,01,57.78333,55.26667
10,2000,01,52.28333,8.05
10,2000,09,58.5,23
10,2000,13,47.88333,22.03333
10,2000,14,46.06667,23.58333
10,2000,18,6.75,8.5
10,2000,19,38.18333,-5.4
10,2000,20,36.18333,139.21667
10,2000,20,35.08333,135.2
10,2000,20,50.83333,25.5
10,2000,20,52.95,8.16667
10,2000,21,38.71667,-7.06667
10,2000,21,39.56667,-2.1
10,2000,21,64.02,161.80833
10,2000,22,43.88333,1.38333
10,2000,22,28.5475,-81.36222
10,2000,23,47.11667,6.15
10,2001,01,42.13333,12.93333
10,2001,19,58.88333,9.4
10,2001,20,38.4,140.35
10,2001,20,38.6,-95.21667
10,2001,21,12.9,0.08
10,2001,21,30.18,-6.57717
10,2001,22,24.3,-13.1
10,2001,22,37.60833,-8.28
10,2001,24,-18,16
10,2002,00,43.4,-5.86667
10,2002,00,21.05,-99.3
10,2002,03,55.66667,25
10,2002,05,17.74333,120.45583
10,2002,05,-23.11667,-65.1
10,2002,05,43.48333,118.61667
10,2002,05,39.8,-91.5
10,2002,05,21.3,-157.78333
10,2002,05,15.08333,120.7
10,2002,05,8.06667,124.28333
10,2002,05,36.06667,-90.5
10,2002,05,-6.23333,-40.7
10,2002,05,-19.13333,-51.66667
10,2002,05,41.48472,-87.67917
10,2002,06,9.23333,78.35
10,2002,06,26.2,85.4
10,2002,07,36.21667,-103.4
10,2002,09,20.93694,82.05
10,2002,13,-19.53333,-48.56667
10,2002,14,38.13333,14.96667
10,2002,15,23.15,91.18333
10,2002,16,43.46667,25.51667
10,2002,17,52.3,77.03333
10,2002,18,48.53333,35.98333
10,2002,19,52.03333,43
10,2002,19,56.13333,-117.93333
10,2002,20,51.66667,9.25
10,2002,22,41.28333,-73.91667
